S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
1404,RAMANA GADDAM,Pyramid Party of India,226,0,226,0.09,Vinukonda,99,Andhra Pradesh 
1405,CHIRANJEEVI NAIK,Jai Bharat National Party,65,3,68,0.03,Vinukonda,99,Andhra Pradesh 
1406,USTALA CHINA KASAIAH,Independent,31,0,31,0.01,Vinukonda,99,Andhra Pradesh 
1407,BATCHU VENKATA RAVI KUMAR,Independent,43,1,44,0.02,Vinukonda,99,Andhra Pradesh 
1408,BOLLA VEERANJANEYULU,Independent,42,0,42,0.02,Vinukonda,99,Andhra Pradesh 
1409,MOLAKA SEETARAM,Independent,57,2,59,0.02,Vinukonda,99,Andhra Pradesh 
1410,SRINIVASA RAO NARALASETTY,Independent,334,1,335,0.14,Vinukonda,99,Andhra Pradesh 
1411,SRINIVASARAO JADDA,Independent,138,3,141,0.06,Vinukonda,99,Andhra Pradesh 
1412,SHAIK BAJI,Independent,176,1,177,0.07,Vinukonda,99,Andhra Pradesh 
1413,NOTA,None of the Above,1685,9,1694,0.71,Vinukonda,99,Andhra Pradesh 
1414,KASU MAHESH REDDY,Yuvajana Sramika Rythu Congress Party,97893,822,98715,42.36,Gurajala,100,Andhra Pradesh 
1415,NAGENDLA YOBU,Bahujan Samaj Party,906,3,909,0.39,Gurajala,100,Andhra Pradesh 
1416,YARAPATHINENI SRINIVASA RAO,Telugu Desam,126958,1243,128201,55.01,Gurajala,100,Andhra Pradesh 
1417,YALAMANDA REDDY TIYYAGURA,Indian National Congress,2137,19,2156,0.93,Gurajala,100,Andhra Pradesh 
1418,KANAKAM.SRINIVASARAO,National Nava Kranthi Party,159,0,159,0.07,Gurajala,100,Andhra Pradesh 
1419,JULURI RAMESH,Jaibhim Rao Bharat Party,120,0,120,0.05,Gurajala,100,Andhra Pradesh 
1420,SRINIVASARAO GADDAM,Andhra Rastra Praja Samithi,93,0,93,0.04,Gurajala,100,Andhra Pradesh 
1421,SRINIVASARAO NEERUMALLA,Akhil Bharatiya Jan Sangh,156,1,157,0.07,Gurajala,100,Andhra Pradesh 
1422,KOPPARAPU VENKATA PURUSHOTHAMARAO,Independent,91,0,91,0.04,Gurajala,100,Andhra Pradesh 
1423,GANGAVARAPU MALLAMMA,Independent,89,3,92,0.04,Gurajala,100,Andhra Pradesh 
1424,CHEDILA NAGARJUNA,Independent,87,0,87,0.04,Gurajala,100,Andhra Pradesh 
1425,BADAM VENKATESWARA REDDY,Independent,146,0,146,0.06,Gurajala,100,Andhra Pradesh 
1426,RAMA RAO KOYA,Independent,232,0,232,0.1,Gurajala,100,Andhra Pradesh 
1427,NOTA,None of the Above,1873,15,1888,0.81,Gurajala,100,Andhra Pradesh 
1428,GUNDALA SAIDULU,Bahujan Samaj Party,2421,6,2427,1.1,Macherla ,101,Andhra Pradesh 
1429,JULAKANTI BRAHMANANDA REDDY,Telugu Desam,121041,1372,122413,55.62,Macherla ,101,Andhra Pradesh 
1430,RAMAKRISHNAREDDY. PINNELLI,Yuvajana Sramika Rythu Congress Party,88122,973,89095,40.48,Macherla ,101,Andhra Pradesh 
1431,RAMACHANDRAREDDY YARAMALA,Indian National Congress,2221,16,2237,1.02,Macherla ,101,Andhra Pradesh 
1432,NAVULURI SHIVA REDDY,Jai Bharat National Party,213,1,214,0.1,Macherla ,101,Andhra Pradesh 
1433,BATCHU. VENKATESWARLU,Pyramid Party of India,328,1,329,0.15,Macherla ,101,Andhra Pradesh 
1434,YENUMULA KESAVA REDDY,Telugu Rajadhikara Samiti Party,104,1,105,0.05,Macherla ,101,Andhra Pradesh 
1435,KUNDURU VEERANJANEYAREDDY,Independent,101,0,101,0.05,Macherla ,101,Andhra Pradesh 
1436,KOTRA RAJESH,Independent,76,2,78,0.04,Macherla ,101,Andhra Pradesh 
1437,GUMMADI. KOTESWARARAO YADAV,Independent,83,2,85,0.04,Macherla ,101,Andhra Pradesh 
1438,GOLLA SRINIVASARAO,Independent,170,2,172,0.08,Macherla ,101,Andhra Pradesh 
1439,DEGALA SAIDARAJU,Independent,135,0,135,0.06,Macherla ,101,Andhra Pradesh 
1440,PRASAD SURA,Independent,148,0,148,0.07,Macherla ,101,Andhra Pradesh 
1441,VRS SATYANARAYANA CHARI MAROJU,Independent,527,1,528,0.24,Macherla ,101,Andhra Pradesh 
1442,SHAIK MABU JANI,Independent,286,0,286,0.13,Macherla ,101,Andhra Pradesh 
1443,NOTA,None of the Above,1728,18,1746,0.79,Macherla ,101,Andhra Pradesh 
1444,AJITHA RAO BUDALA,Indian National Congress,2166,26,2192,1.18,Yerragondapalem (SC),102,Andhra Pradesh 
1445,ERIXION BABU GUDURI,Telugu Desam,85487,1054,86541,46.6,Yerragondapalem (SC),102,Andhra Pradesh 
1446,KOTA PITCHAIAH,Bahujan Samaj Party,1327,3,1330,0.72,Yerragondapalem (SC),102,Andhra Pradesh 
1447,CHANDRA SEKHAR TATIPARTHI,Yuvajana Sramika Rythu Congress Party,90964,777,91741,49.4,Yerragondapalem (SC),102,Andhra Pradesh 
1448,KORRAPOLU JAYA RAO,Jatiya Jana Sena Party,325,2,327,0.18,Yerragondapalem (SC),102,Andhra Pradesh 
1449,CHEDURI VENKATESH,Navarang Congress Party,82,0,82,0.04,Yerragondapalem (SC),102,Andhra Pradesh 
1450,THELLA EBSHI RANI,Liberation Congress Party,81,1,82,0.04,Yerragondapalem (SC),102,Andhra Pradesh 
1451,DUPATI CHANDRA BABU,Jai Bharat National Party,137,1,138,0.07,Yerragondapalem (SC),102,Andhra Pradesh 
1452,MUTUKURI KRUPAIAH,Bharatha Chaitanya Yuvajana Party,161,3,164,0.09,Yerragondapalem (SC),102,Andhra Pradesh 
1453,VENKATESWARLU DARSI,Jaibhim Rao Bharat Party,119,0,119,0.06,Yerragondapalem (SC),102,Andhra Pradesh 
1454,VESAPOGU ELIA,Samajwadi Party,92,1,93,0.05,Yerragondapalem (SC),102,Andhra Pradesh 
1455,KOMMULA RAVI,Independent,147,1,148,0.08,Yerragondapalem (SC),102,Andhra Pradesh 
1456,THATHAPUDI JOHNSON,Independent,168,1,169,0.09,Yerragondapalem (SC),102,Andhra Pradesh 
1457,TURAKA RATNA PAUL,Independent,367,1,368,0.2,Yerragondapalem (SC),102,Andhra Pradesh 
1458,NOTA,None of the Above,2222,9,2231,1.2,Yerragondapalem (SC),102,Andhra Pradesh 
1459,ETTHADI SIVA PRASAD,Bahujan Samaj Party,556,5,561,0.27,Darsi,103,Andhra Pradesh 
1460,GOTTIPATI LAKSHMI,Telugu Desam,98330,1103,99433,48.01,Darsi,103,Andhra Pradesh 
1461,PUTLURI KONDA REDDY,Indian National Congress,1970,15,1985,0.96,Darsi,103,Andhra Pradesh 
1462,BUCHEPALLI SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,100927,962,101889,49.2,Darsi,103,Andhra Pradesh 
1463,ARIGELA SRINIVASULU,Bharatha Chaitanya Yuvajana Party,302,3,305,0.15,Darsi,103,Andhra Pradesh 
1464,KUNCHALA KOTESWARARAO,Radical Party of India (Ambedkarist),102,0,102,0.05,Darsi,103,Andhra Pradesh 
1465,TENALI RAVIBABU,Andhra Rastra Praja Samithi,109,1,110,0.05,Darsi,103,Andhra Pradesh 
1466,TELUKUTLA KALYANA KUMAR,Samajwadi Party,114,0,114,0.06,Darsi,103,Andhra Pradesh 
1467,PATIBANDLA THRIPURADAS,Jatiya Jana Sena Party,94,0,94,0.05,Darsi,103,Andhra Pradesh 
1468,JOHN VESLY ANAPARTHI,Independent,136,0,136,0.07,Darsi,103,Andhra Pradesh 
1469,MANCHA MEENA,Independent,269,1,270,0.13,Darsi,103,Andhra Pradesh 
1470,NOTA,None of the Above,2098,9,2107,1.02,Darsi,103,Andhra Pradesh 
1471,YELURI SAMBASIVA RAO,Telugu Desam,108941,1634,110575,54.67, Parchur ,104,Andhra Pradesh 
1472,NALLAGORLA SIVA SRILAKSHMI JYOTHI,Indian National Congress,2275,18,2293,1.13, Parchur ,104,Andhra Pradesh 
1473,YADAM BALAJI,Yuvajana Sramika Rythu Congress Party,85571,991,86562,42.79, Parchur ,104,Andhra Pradesh 
1474,VENKATRATNAM THAMMULURI,Bahujan Samaj Party,401,2,403,0.2, Parchur ,104,Andhra Pradesh 
1475,YERIJARLA VIDYUL KUMAR,Radical Party of India (Ambedkarist),59,0,59,0.03, Parchur ,104,Andhra Pradesh 
1476,BACHINA RAMBABU,Jateeya Sama Samajam Party,419,8,427,0.21, Parchur ,104,Andhra Pradesh 
1477,BENDAPUDI LOKESHWARA SARMA,Pyramid Party of India,60,0,60,0.03, Parchur ,104,Andhra Pradesh 
1478,ALOKAM RAMESH BABU,Independent,23,0,23,0.01, Parchur ,104,Andhra Pradesh 
1479,KORAMBANDI SURESH BABU,Independent,19,1,20,0.01, Parchur ,104,Andhra Pradesh 
1480,GERA RAVINDRANADH TAGORE,Independent,27,0,27,0.01, Parchur ,104,Andhra Pradesh 
1481,GOVINDU KONDURI,Independent,21,2,23,0.01, Parchur ,104,Andhra Pradesh 
1482,CHIMPIRAIAH GALI,Independent,39,1,40,0.02, Parchur ,104,Andhra Pradesh 
1483,CHIMATA HANUMANTHARAO,Independent,76,2,78,0.04, Parchur ,104,Andhra Pradesh 
1484,P. SRINIVASA RAO,Independent,267,0,267,0.13, Parchur ,104,Andhra Pradesh 
1485,SHAIK KHASIM SAIDA,Independent,128,0,128,0.06, Parchur ,104,Andhra Pradesh 
1486,NOTA,None of the Above,1269,20,1289,0.64, Parchur ,104,Andhra Pradesh 
1487,AMANCHI KRISHNA MOHAN,Indian National Congress,41295,564,41859,24.58,Chirala,106,Andhra Pradesh 
1488,KARANAM VENKATESH,Yuvajana Sramika Rythu Congress Party,50802,914,51716,30.36,Chirala,106,Andhra Pradesh 
1489,KATI MARK,Bahujan Samaj Party,1026,13,1039,0.61,Chirala,106,Andhra Pradesh 
1490,MADDULURI MALA KONDAIAH,Telugu Desam,71360,1340,72700,42.68,Chirala,106,Andhra Pradesh 
1491,ABDUL BASHEER SHAIK,Indian Union Muslim League,211,1,212,0.12,Chirala,106,Andhra Pradesh 
1492,ANKAMMA GANDHI LAGADAPATI,Pyramid Party of India,152,2,154,0.09,Chirala,106,Andhra Pradesh 
1493,THANNEERU VIJAY,Reforms Party of India,126,0,126,0.07,Chirala,106,Andhra Pradesh 
1494,RAVI KUMAR SEELAM,Liberation Congress Party,61,2,63,0.04,Chirala,106,Andhra Pradesh 
1495,VENKATESWARLU SEELAM,Jaathia Chethi Vruthula Ikya Vedika Party,53,0,53,0.03,Chirala,106,Andhra Pradesh 
1496,ASADI ANJANEYULU,Independent,108,2,110,0.06,Chirala,106,Andhra Pradesh 
1497,TELLA RAMBABU,Independent,51,1,52,0.03,Chirala,106,Andhra Pradesh 
