S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
1933,ANANDA RAO PANDITI,Andhra Rastra Praja Samithi,677,2,679,0.38,Mydukur,133,Andhra Pradesh 
1934,AVUTALA RAJESWARA REDDY,All India Forward Bloc,53,0,53,0.03,Mydukur,133,Andhra Pradesh 
1935,YELLUGALLA RAJESH,Mahajana Rajyam Party,50,0,50,0.03,Mydukur,133,Andhra Pradesh 
1936,RAGHURAMI REDDY MUTHURU,Revolutionary Socialist Party,85,5,90,0.05,Mydukur,133,Andhra Pradesh 
1937,RAVEENDRA ANDE,Samajwadi Party,38,0,38,0.02,Mydukur,133,Andhra Pradesh 
1938,LEKKALA SREENUVASULA REDDY,Jai Bharat National Party,117,0,117,0.06,Mydukur,133,Andhra Pradesh 
1939,VENKATA SUDHAKAR REDDY PALLAVOLU,Rashtriya Samaj Dal (R),41,2,43,0.02,Mydukur,133,Andhra Pradesh 
1940,AVULA VENKATA RAMANA,Independent,102,0,102,0.06,Mydukur,133,Andhra Pradesh 
1941,BALAIAH YADAV POTHANABOINA,Independent,95,0,95,0.05,Mydukur,133,Andhra Pradesh 
1942,RAJA RAMI REDDY SRIYAPUREDDY,Anna YSR Congress Party,169,0,169,0.09,Mydukur,133,Andhra Pradesh 
1943,SIVA SANKAR REDDY SIDDAMREDDY,Independent,318,2,320,0.18,Mydukur,133,Andhra Pradesh 
1944,NOTA,None of the Above,1548,16,1564,0.87,Mydukur,133,Andhra Pradesh 
1945,ISMAIL.A.S,Indian National Congress,3391,38,3429,2.08,Srisailam,135,Andhra Pradesh 
1946,PALLE.CHANDRA SEKHAR,Bahujan Samaj Party,555,12,567,0.34,Srisailam,135,Andhra Pradesh 
1947,BUDDA RAJASEKHARA REDDY,Telugu Desam,80630,1069,81699,49.64,Srisailam,135,Andhra Pradesh 
1948,SILPA CHAKRAPANI REDDY,Yuvajana Sramika Rythu Congress Party,74689,625,75314,45.76,Srisailam,135,Andhra Pradesh 
1949,GOONDLA MALLIKARJUNA GOUD (PANDU),National Maha Sabha Party,223,1,224,0.14,Srisailam,135,Andhra Pradesh 
1950,CHINTA NAGESWARA RAO,Jaathia Chethi Vruthula Ikya Vedika Party,108,1,109,0.07,Srisailam,135,Andhra Pradesh 
1951,MADHU YENNAKANDLA,Samajwadi Party,61,0,61,0.04,Srisailam,135,Andhra Pradesh 
1952,K.MADHU GOUD,Naba Bharata Nirmana Seva Party,85,1,86,0.05,Srisailam,135,Andhra Pradesh 
1953,MEDIGA SUSHMITHA,Jaibhim Rao Bharat Party,68,2,70,0.04,Srisailam,135,Andhra Pradesh 
1954,N.K.YUNUS,Social Democratic Party Of India,746,4,750,0.46,Srisailam,135,Andhra Pradesh 
1955,LOKESWARA REDDY YELLAMPALLE,Jai Hindustan Party,61,2,63,0.04,Srisailam,135,Andhra Pradesh 
1956,VELUGOTI JAYA NARAPU REDDY,Jatiya Jana Sena Party,52,3,55,0.03,Srisailam,135,Andhra Pradesh 
1957,SYED MAHAMMAD SIKINDHAR BASHA,Jai Bharat National Party,169,2,171,0.1,Srisailam,135,Andhra Pradesh 
1958,ALLE ESWARA REDDY,Independent,139,1,140,0.09,Srisailam,135,Andhra Pradesh 
1959,YENDLURI THIMAYYA,Independent,110,1,111,0.07,Srisailam,135,Andhra Pradesh 
1960,JAYA KUMARA SWAMY,Independent,282,0,282,0.17,Srisailam,135,Andhra Pradesh 
1961,PATTEKALLA ELIYAS,Independent,163,2,165,0.1,Srisailam,135,Andhra Pradesh 
1962,PEDDIREDDY GANGADHARAREDDY,Independent,205,2,207,0.13,Srisailam,135,Andhra Pradesh 
1963,NOTA,None of the Above,1067,10,1077,0.65,Srisailam,135,Andhra Pradesh 
1964,GADDALA LAZAR,Bahujan Samaj Party,524,5,529,0.28,Nandikotkur (SC),136,Andhra Pradesh 
1965,G JAYASURYA,Telugu Desam,90804,1200,92004,49.24,Nandikotkur (SC),136,Andhra Pradesh 
1966,THOGURU ARTHUR,Indian National Congress,7844,105,7949,4.25,Nandikotkur (SC),136,Andhra Pradesh 
1967,DARA SUDHEER,Yuvajana Sramika Rythu Congress Party,81535,677,82212,44.0,Nandikotkur (SC),136,Andhra Pradesh 
1968,E. KARUNAKAR,Super Rangers Party,250,0,250,0.13,Nandikotkur (SC),136,Andhra Pradesh 
1969,NAKKA RAJESH,Samajwadi Party,71,0,71,0.04,Nandikotkur (SC),136,Andhra Pradesh 
1970,PALLE NAGARAJU,India Praja Bandhu Party,80,0,80,0.04,Nandikotkur (SC),136,Andhra Pradesh 
1971,PULA HARI BABU,Andhra Rastra Praja Samithi,72,0,72,0.04,Nandikotkur (SC),136,Andhra Pradesh 
1972,BORELLI VENKATA RAMUDU,Jai Bharat National Party,172,3,175,0.09,Nandikotkur (SC),136,Andhra Pradesh 
1973,VENKATARAMANA CHIMME,Bharatha Chaitanya Yuvajana Party,158,6,164,0.09,Nandikotkur (SC),136,Andhra Pradesh 
1974,K VENKATESWARLU,Jaathia Chethi Vruthula Ikya Vedika Party,102,2,104,0.06,Nandikotkur (SC),136,Andhra Pradesh 
1975,SABOLU LINCOLN RAJU,Social Democratic Party Of India,359,2,361,0.19,Nandikotkur (SC),136,Andhra Pradesh 
1976,SAGINELA VENKATESHWARLU,Anna YSR Congress Party,124,3,127,0.07,Nandikotkur (SC),136,Andhra Pradesh 
1977,SOGARAJU MUNAIAH,Liberation Congress Party,164,0,164,0.09,Nandikotkur (SC),136,Andhra Pradesh 
1978,GADE SUDHEER,Independent,258,0,258,0.14,Nandikotkur (SC),136,Andhra Pradesh 
1979,K JAYANNA,Independent,428,1,429,0.23,Nandikotkur (SC),136,Andhra Pradesh 
1980,PEDISHALA SRINIVASULU,Independent,147,0,147,0.08,Nandikotkur (SC),136,Andhra Pradesh 
1981,MIDDE BALARAJU,Independent,483,0,483,0.26,Nandikotkur (SC),136,Andhra Pradesh 
1982,NOTA,None of the Above,1260,14,1274,0.68,Nandikotkur (SC),136,Andhra Pradesh 
1983,ARUNA KUMAR .G,Bahujan Samaj Party,1776,17,1793,1.0,Kurnool,137,Andhra Pradesh 
1984,"A. MD. IMTIAZ I.A.S., (RETD)",Yuvajana Sramika Rythu Congress Party,71777,1037,72814,40.77,Kurnool,137,Andhra Pradesh 
1985,T.G.BHARATH,Telugu Desam,89281,2409,91690,51.34,Kurnool,137,Andhra Pradesh 
1986,SHAIK JELANI BASHA,Indian National Congress,8907,115,9022,5.05,Kurnool,137,Andhra Pradesh 
1987,ABDUL SATTAR (A.S.R),Anna YSR Congress Party,106,3,109,0.06,Kurnool,137,Andhra Pradesh 
1988,KURUVA NAGESH,All India Kisan Janatha party,31,0,31,0.02,Kurnool,137,Andhra Pradesh 
1989,KHALEEL AHMED SHAIK,Social Democratic Party Of India,484,12,496,0.28,Kurnool,137,Andhra Pradesh 
1990,A.P.RAMAIAH YADAV,Jateeya Sama Samajam Party,110,1,111,0.06,Kurnool,137,Andhra Pradesh 
1991,SANDYAPOGU RAGHAVENDRA,Super Rangers Party,27,0,27,0.02,Kurnool,137,Andhra Pradesh 
1992,HARISH KUMAR REDDY .V,Socialist Unity Centre Of India (COMMUNIST),63,0,63,0.04,Kurnool,137,Andhra Pradesh 
1993,INTHIAZ,Independent,56,0,56,0.03,Kurnool,137,Andhra Pradesh 
1994,JAMEELA BEGUM SYED,Independent,27,0,27,0.02,Kurnool,137,Andhra Pradesh 
1995,S.NAZEER AHMED,Independent,48,0,48,0.03,Kurnool,137,Andhra Pradesh 
1996,B.K.NAGA RAJU,Independent,62,0,62,0.03,Kurnool,137,Andhra Pradesh 
1997,S.NOUSHAD,Independent,165,1,166,0.09,Kurnool,137,Andhra Pradesh 
1998,PULI JACOB,Independent,150,1,151,0.08,Kurnool,137,Andhra Pradesh 
1999,B. PRASADA RAO,Independent,145,0,145,0.08,Kurnool,137,Andhra Pradesh 
2000,BADAI FASIHA NAAZ,Independent,152,1,153,0.09,Kurnool,137,Andhra Pradesh 
2001,BANNURU CHANDRA SEKHAR REDDY,Independent,131,0,131,0.07,Kurnool,137,Andhra Pradesh 
2002,BHARATH N,Independent,458,5,463,0.26,Kurnool,137,Andhra Pradesh 
2003,RAVI KUMAR .V,Independent,134,5,139,0.08,Kurnool,137,Andhra Pradesh 
2004,SINGARI CHANDRA SEKHAR,Independent,17,0,17,0.01,Kurnool,137,Andhra Pradesh 
2005,B.SREENIVASA RAO,Independent,52,1,53,0.03,Kurnool,137,Andhra Pradesh 
2006,M.SRI HARSHA,Independent,89,2,91,0.05,Kurnool,137,Andhra Pradesh 
2007,HUSSAIN PEERAN SAHEB BUVVAJI CHINNA,Independent,18,0,18,0.01,Kurnool,137,Andhra Pradesh 
2008,NOTA,None of the Above,695,23,718,0.4,Kurnool,137,Andhra Pradesh 
2009,KATASANI RAMABHUPAL REDDY,Yuvajana Sramika Rythu Congress Party,99234,1447,100681,40.23,Panyam,138,Andhra Pradesh 
2010,GOWRU CHARITHA REDDY,Telugu Desam,137743,3529,141272,56.45,Panyam,138,Andhra Pradesh 
2011,GOUSE DESAI,Communist Party of India (Marxist),2995,86,3081,1.23,Panyam,138,Andhra Pradesh 
2012,DASARI RAMA SESHAIAH,Bahujan Samaj Party,639,16,655,0.26,Panyam,138,Andhra Pradesh 
2013,K.KRISHNAMACHARI,Andhra Rastra Praja Samithi,149,0,149,0.06,Panyam,138,Andhra Pradesh 
2014,M.JAMANNA,Jana Sahayaka Sakthi,116,0,116,0.05,Panyam,138,Andhra Pradesh 
2015,TELUGU BHASKAR,Navarang Congress Party,149,0,149,0.06,Panyam,138,Andhra Pradesh 
2016,BATHULA CHINNAIAH,All India Forward Bloc,150,3,153,0.06,Panyam,138,Andhra Pradesh 
2017,BOGGULA MAHENDRA BABU,Super Rangers Party,99,1,100,0.04,Panyam,138,Andhra Pradesh 
2018,MALLAPU RAJU,India Praja Bandhu Party,122,2,124,0.05,Panyam,138,Andhra Pradesh 
2019,REGATI RAGHU RAMI REDDY,Jai Bharat National Party,164,6,170,0.07,Panyam,138,Andhra Pradesh 
2020,HARUN DUDEKULA,Anna YSR Congress Party,163,4,167,0.07,Panyam,138,Andhra Pradesh 
2021,CHIRANJEEVI PUSULURI,Independent,301,2,303,0.12,Panyam,138,Andhra Pradesh 
2022,J. SEETHAMMA,Independent,490,3,493,0.2,Panyam,138,Andhra Pradesh 
2023,NOTA,None of the Above,2602,61,2663,1.06,Panyam,138,Andhra Pradesh 
2024,GOPAVARAM GOKUL KRISHNA REDDY,Indian National Congress,6346,72,6418,3.08,Nandyal,139,Andhra Pradesh 
2025,NASYAM MOHAMMED FAROOK,Telugu Desam,100606,2469,103075,49.42,Nandyal,139,Andhra Pradesh 
2026,I.J.VENKATA RAMANA,Bahujan Samaj Party,1104,9,1113,0.53,Nandyal,139,Andhra Pradesh 
2027,SILPA RAVI CHANDRA KISHORE REDDY,Yuvajana Sramika Rythu Congress Party,89317,1425,90742,43.51,Nandyal,139,Andhra Pradesh 
2028,ABDULLAH SHARIF SHAIK,Jai Hindustan Party,289,2,291,0.14,Nandyal,139,Andhra Pradesh 
2029,YELLA SUBBARAYUDU,Jatiya Jana Sena Party,85,1,86,0.04,Nandyal,139,Andhra Pradesh 
2030,KAPPETA ADI NARAYANA REDDY,Naba Bharata Nirmana Seva Party,92,1,93,0.04,Nandyal,139,Andhra Pradesh 
2031,GANJI VENKATESWARLU,Jaathia Chethi Vruthula Ikya Vedika Party,75,1,76,0.04,Nandyal,139,Andhra Pradesh 
2032,CHINTALAPALLE SUDHAKARA RAO,Bharatha Chaitanya Yuvajana Party,52,0,52,0.02,Nandyal,139,Andhra Pradesh 
2033,K.C.CHENNAIAH,Jaibhim Rao Bharat Party,75,0,75,0.04,Nandyal,139,Andhra Pradesh 
2034,S.BABA FAKRUDDIN,Navarang Congress Party,72,2,74,0.04,Nandyal,139,Andhra Pradesh 
2035,MANJULA SUBBARAYUDU,All Peoples Party,80,1,81,0.04,Nandyal,139,Andhra Pradesh 
2036,RAMESH SALLA,Yuga Thulasi Party,367,8,375,0.18,Nandyal,139,Andhra Pradesh 
2037,K RAGHAVENDRA,Neethi Nijayithi Party,79,0,79,0.04,Nandyal,139,Andhra Pradesh 
2038,S. ABBAS,Indian Union Muslim League,122,1,123,0.06,Nandyal,139,Andhra Pradesh 
2039,SHAIK MAHAMMAD FAZIL,Social Democratic Party Of India,2403,18,2421,1.16,Nandyal,139,Andhra Pradesh 
2040,KAMINI VISHNUVARDHAN REDDY,Independent,100,4,104,0.05,Nandyal,139,Andhra Pradesh 
2041,CHINNA RAJU PERI,Independent,282,0,282,0.14,Nandyal,139,Andhra Pradesh 
2042,DASARI CHINNA LINGAMAIAH,Independent,202,2,204,0.1,Nandyal,139,Andhra Pradesh 
2043,Y. NAGASESHU,Independent,146,0,146,0.07,Nandyal,139,Andhra Pradesh 
2044,MADDELA CHANDRA SEKHAR,Independent,134,0,134,0.06,Nandyal,139,Andhra Pradesh 
2045,DEVARAPATI RAVI KUMAR,Independent,110,1,111,0.05,Nandyal,139,Andhra Pradesh 
2046,RAMAYANAM HYGREEVACHARI,Independent,510,12,522,0.25,Nandyal,139,Andhra Pradesh 
2047,LAKKA. KESAVA,Independent,61,1,62,0.03,Nandyal,139,Andhra Pradesh 
2048,VIKRAM BABU,Independent,144,0,144,0.07,Nandyal,139,Andhra Pradesh 
2049,K.AJ.S. VIJAYA KUMAR,Independent,47,1,48,0.02,Nandyal,139,Andhra Pradesh 
2050,B. SRAVAN KUMAR,Independent,46,2,48,0.02,Nandyal,139,Andhra Pradesh 
2051,SHAIK RIYAZ,Independent,81,0,81,0.04,Nandyal,139,Andhra Pradesh 
2052,NOTA,None of the Above,1468,50,1518,0.73,Nandyal,139,Andhra Pradesh 
2053,KATASANI RAMI REDDY,Yuvajana Sramika Rythu Congress Party,84320,717,85037,41.33,Banaganapalle,140,Andhra Pradesh 
2054,GUTAM PULLAIAH (BALU YADAV),Indian National Congress,3319,25,3344,1.63,Banaganapalle,140,Andhra Pradesh 
2055,G. CHENNAYYA,Bahujan Samaj Party,1029,1,1030,0.5,Banaganapalle,140,Andhra Pradesh 
2056,B.C. JANARDHAN REDDY,Telugu Desam,109194,1409,110603,53.76,Banaganapalle,140,Andhra Pradesh 
2057,GOGULA SUGUNAMMA,Jai Maha Bharath Party,346,1,347,0.17,Banaganapalle,140,Andhra Pradesh 
2058,CHINNA SHETTI VENKATASUBBAYYA,Jaathia Chethi Vruthula Ikya Vedika Party,89,0,89,0.04,Banaganapalle,140,Andhra Pradesh 
2059,AMBATI RAVI KUMAR REDDY,Independent,44,0,44,0.02,Banaganapalle,140,Andhra Pradesh 
2060,EDIGA GURU PRADEEP,Independent,80,0,80,0.04,Banaganapalle,140,Andhra Pradesh 
2061,KASIREDDY RAGHUNATHA REDDY,Independent,97,1,98,0.05,Banaganapalle,140,Andhra Pradesh 
2062,KALINGIRI RAMUDU,Independent,74,0,74,0.04,Banaganapalle,140,Andhra Pradesh 
2063,KEDAM SUBBARAYUDU,Independent,96,1,97,0.05,Banaganapalle,140,Andhra Pradesh 
2064,KONUDULA VENKATA REDDY,Independent,103,1,104,0.05,Banaganapalle,140,Andhra Pradesh 
2065,GANGAVARAPU SIVA PRASAD,Independent,160,0,160,0.08,Banaganapalle,140,Andhra Pradesh 
2066,GUVVALA SUBBAREDDY,Independent,195,0,195,0.09,Banaganapalle,140,Andhra Pradesh 
2067,NARAHARISETTI RAVI,Independent,201,0,201,0.1,Banaganapalle,140,Andhra Pradesh 
2068,A. V. NAGI REDDY,Independent,554,0,554,0.27,Banaganapalle,140,Andhra Pradesh 
2069,Y. MADHU KRISHNA,Independent,573,0,573,0.28,Banaganapalle,140,Andhra Pradesh 
2070,MARAM SATYAM REDDY,Independent,366,0,366,0.18,Banaganapalle,140,Andhra Pradesh 
2071,G. MOHAN REDDY,Independent,294,0,294,0.14,Banaganapalle,140,Andhra Pradesh 
2072,RAGIMANU SANJEEVA KUMAR,Independent,289,0,289,0.14,Banaganapalle,140,Andhra Pradesh 
2073,M. RAMACHANDRA NAIK,Independent,100,0,100,0.05,Banaganapalle,140,Andhra Pradesh 
2074,Y. RAMACHANDRA REDDY,Independent,41,0,41,0.02,Banaganapalle,140,Andhra Pradesh 
2075,K. VENKATA SIVA REDDY,Independent,61,0,61,0.03,Banaganapalle,140,Andhra Pradesh 
2076,P. VENKATA SUBBAREDDY,Independent,58,0,58,0.03,Banaganapalle,140,Andhra Pradesh 
2077,U. SIVA NAGIREDDY,Independent,68,0,68,0.03,Banaganapalle,140,Andhra Pradesh 
2078,G. SESHASAYANA REDDY,Independent,79,0,79,0.04,Banaganapalle,140,Andhra Pradesh 
2079,T. V. SREENIVASULU,Independent,61,0,61,0.03,Banaganapalle,140,Andhra Pradesh 
2080,G. SUBBARAYUDU,Independent,165,0,165,0.08,Banaganapalle,140,Andhra Pradesh 
2081,NOTA,None of the Above,1516,12,1528,0.74,Banaganapalle,140,Andhra Pradesh 
2082,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,92421,1102,93523,49.19,Dhone,141,Andhra Pradesh 
2083,DR. GARLAPATI. MADDULETY SWAMY,Indian National Congress,3961,27,3988,2.1,Dhone,141,Andhra Pradesh 
2084,BUGGANA RAJA REDDY,Yuvajana Sramika Rythu Congress Party,86690,784,87474,46.01,Dhone,141,Andhra Pradesh 
2085,RUDRAVARAM G.RAMUDU,Bahujan Samaj Party,781,3,784,0.41,Dhone,141,Andhra Pradesh 
2086,TARIGOPULA BALU YADAV,Bharatha Chaitanya Yuvajana Party,116,0,116,0.06,Dhone,141,Andhra Pradesh 
2087,BALAPALA. KUMAR SWAMY,Jaathia Chethi Vruthula Ikya Vedika Party,91,0,91,0.05,Dhone,141,Andhra Pradesh 
2088,AKHIL KUMAR CHENNURU,Independent,182,2,184,0.1,Dhone,141,Andhra Pradesh 
2089,AVULA MAHESH YADAV,Independent,115,0,115,0.06,Dhone,141,Andhra Pradesh 
2090,J CHINNA JAYARAMUDU,Independent,70,2,72,0.04,Dhone,141,Andhra Pradesh 
2091,PEYITI ANAND,Independent,123,0,123,0.06,Dhone,141,Andhra Pradesh 
2092,POLUR. NAGENDRA BABU.,Independent,130,1,131,0.07,Dhone,141,Andhra Pradesh 
2093,PRASAD.,Independent,135,0,135,0.07,Dhone,141,Andhra Pradesh 
2094,K.RAVI KUMAR,Independent,187,0,187,0.1,Dhone,141,Andhra Pradesh 
2095,K. S. REDDY.,Independent,682,4,686,0.36,Dhone,141,Andhra Pradesh 
2096,M.V.REDDY,Independent,324,0,324,0.17,Dhone,141,Andhra Pradesh 
2097,C.S.C. REDDY,Independent,825,0,825,0.43,Dhone,141,Andhra Pradesh 
2098,NOTA,None of the Above,1351,11,1362,0.72,Dhone,141,Andhra Pradesh 
2099,KOTA. SRINIVAS RAO,Indian National Congress,1157,16,1173,0.67,Pattikonda,142,Andhra Pradesh 
2100,PILLI SURYA PRAKASH,Yuvajana Sramika Rythu Congress Party,70629,732,71361,40.69,Pattikonda,142,Andhra Pradesh 
2101,MATHA RANI SUBRAHMANYAM,Bahujan Samaj Party,1188,18,1206,0.69,Pattikonda,142,Andhra Pradesh 
2102,VASAMSETTI. SUBASH,Telugu Desam,96149,1503,97652,55.68,Pattikonda,142,Andhra Pradesh 
2103,JUTTUKA VENKATARAO,Pyramid Party of India,490,1,491,0.28,Pattikonda,142,Andhra Pradesh 
2104,BARLA SRINIVAS YADAV,Bharatha Chaitanya Yuvajana Party,92,1,93,0.05,Pattikonda,142,Andhra Pradesh 
2105,KATE SUBRAHMANYAM,Independent,52,1,53,0.03,Pattikonda,142,Andhra Pradesh 
2106,KOYYA BANGARU BABU,Independent,52,2,54,0.03,Pattikonda,142,Andhra Pradesh 
2107,CHANDRA SEKHAR MADIKI,Independent,78,0,78,0.04,Pattikonda,142,Andhra Pradesh 
2108,JHAI SREE SUREYENDRA NADHA BABUJI SREEGUTHULA,Independent,1070,9,1079,0.62,Pattikonda,142,Andhra Pradesh 
2109,YARRAMSETTI RAMARAJU,Independent,245,1,246,0.14,Pattikonda,142,Andhra Pradesh 
2110,LANKA. PRAVEEN KUMAR,Independent,121,1,122,0.07,Pattikonda,142,Andhra Pradesh 
2111,SUJATA CHEKKA,Independent,172,0,172,0.1,Pattikonda,142,Andhra Pradesh 
2112,NOTA,None of the Above,1595,13,1608,0.92,Pattikonda,142,Andhra Pradesh 
2113,AUDIMULAPU SATHISH,Yuvajana Sramika Rythu Congress Party,79418,702,80120,40.56,Kodumur (SC),143,Andhra Pradesh 
2114,JAIRAJ,Bahujan Samaj Party,1642,7,1649,0.83,Kodumur (SC),143,Andhra Pradesh 
2115,BOGGULA DASTAGIRI,Telugu Desam,100178,1525,101703,51.49,Kodumur (SC),143,Andhra Pradesh 
2116,P. MURALI KRISHNA,Indian National Congress,9728,107,9835,4.98,Kodumur (SC),143,Andhra Pradesh 
2117,ANDE MEENA KUMARI,Anna YSR Congress Party,230,5,235,0.12,Kodumur (SC),143,Andhra Pradesh 
2118,GADI DEVARAJU,Jai Bharat National Party,151,1,152,0.08,Kodumur (SC),143,Andhra Pradesh 
2119,POLUDASARI AYYASWAMY,Jaathia Chethi Vruthula Ikya Vedika Party,125,0,125,0.06,Kodumur (SC),143,Andhra Pradesh 
2120,MALLAPU RAJU,India Praja Bandhu Party,114,1,115,0.06,Kodumur (SC),143,Andhra Pradesh 
2121,MASTIK NADIPI GUNDALU,Yuga Thulasi Party,205,0,205,0.1,Kodumur (SC),143,Andhra Pradesh 
2122,KALABANDI CHANDRA SEKHAR,Independent,136,0,136,0.07,Kodumur (SC),143,Andhra Pradesh 
2123,DWARAM SATEESH,Independent,115,0,115,0.06,Kodumur (SC),143,Andhra Pradesh 
2124,E.BABY RADHA,Independent,303,1,304,0.15,Kodumur (SC),143,Andhra Pradesh 
2125,B. BHASKAR,Independent,299,0,299,0.15,Kodumur (SC),143,Andhra Pradesh 
2126,RAJU BANKA,Independent,371,0,371,0.19,Kodumur (SC),143,Andhra Pradesh 
2127,NOTA,None of the Above,2149,20,2169,1.1,Kodumur (SC),143,Andhra Pradesh 
2128,M.KHASIM VALI,Indian National Congress,7748,83,7831,3.86,Yemmiganur,144,Andhra Pradesh 
2129,B. JAYANAGESWARA REDDY,Telugu Desam,101212,1877,103089,50.76,Yemmiganur,144,Andhra Pradesh 
2130,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,86396,856,87252,42.96,Yemmiganur,144,Andhra Pradesh 
2131,K. RAGHAVENDRA,Bahujan Samaj Party,884,9,893,0.44,Yemmiganur,144,Andhra Pradesh 
2132,K.NAGARJUNA AREDDY,Jatiya Jana Sena Party,181,3,184,0.09,Yemmiganur,144,Andhra Pradesh 
2133,GAVVALA NARAYANA,Independent,248,2,250,0.12,Yemmiganur,144,Andhra Pradesh 
2134,GOLLA EERANNA,Independent,134,1,135,0.07,Yemmiganur,144,Andhra Pradesh 
2135,JAGANNATHA ERANNA,Independent,225,0,225,0.11,Yemmiganur,144,Andhra Pradesh 
2136,RAJASEKHAR . MITTI,Independent,388,0,388,0.19,Yemmiganur,144,Andhra Pradesh 
2137,VIJAYA LAKSHMI. P,Independent,461,1,462,0.23,Yemmiganur,144,Andhra Pradesh 
2138,NOTA,None of the Above,2357,23,2380,1.17,Yemmiganur,144,Andhra Pradesh 
2139,GUDIPI SAMELU,Bahujan Samaj Party,3586,3,3589,2.04,Mantralayam,145,Andhra Pradesh 
2140,Y. BALANAGI REDDY,Yuvajana Sramika Rythu Congress Party,87411,251,87662,49.72,Mantralayam,145,Andhra Pradesh 
2141,P. S MURLI KRISHNARAJU DORA,Indian National Congress,4645,15,4660,2.64,Mantralayam,145,Andhra Pradesh 
2142,N. RAGHAVENDRA REDDY,Telugu Desam,74529,328,74857,42.45,Mantralayam,145,Andhra Pradesh 
2143,R. RAGHAVENDRA REDDY,Jatiya Jana Sena Party,606,2,608,0.34,Mantralayam,145,Andhra Pradesh 
2144,CHAKKERA PARAMESH VALMIKI,Independent,297,0,297,0.17,Mantralayam,145,Andhra Pradesh 
2145,K. NAGIREDDY,Independent,353,0,353,0.2,Mantralayam,145,Andhra Pradesh 
2146,M. RAGHAVENDRA REDDY,Independent,623,1,624,0.35,Mantralayam,145,Andhra Pradesh 
2147,NOTA,None of the Above,3669,5,3674,2.08,Mantralayam,145,Andhra Pradesh 
2148,ARAKATLA NAVEEN KISHOR,Indian National Congress,5751,21,5772,2.74,Alur,147,Andhra Pradesh 
2149,H. RAMALINGAIAH,Bahujan Samaj Party,1364,5,1369,0.65,Alur,147,Andhra Pradesh 
2150,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Party,99785,479,100264,47.65,Alur,147,Andhra Pradesh 
2151,B. VEERABHADRA GOWD,Telugu Desam,96597,836,97433,46.3,Alur,147,Andhra Pradesh 
2152,N MOHAN PRASAD,Bharatha Chaitanya Yuvajana Party,673,1,674,0.32,Alur,147,Andhra Pradesh 
2153,SHAIK. SHAIKSHA VALI,Jai Bharat National Party,275,1,276,0.13,Alur,147,Andhra Pradesh 
2154,M. AMANULLA,Independent,227,0,227,0.11,Alur,147,Andhra Pradesh 
2155,ADONI ANJANEYULU,Independent,200,0,200,0.1,Alur,147,Andhra Pradesh 
2156,RANGASWAMY KAVALI,Independent,220,0,220,0.1,Alur,147,Andhra Pradesh 
2157,R. LOKANATH,Independent,282,0,282,0.13,Alur,147,Andhra Pradesh 
2158,B. SATYANNA,Independent,534,2,536,0.25,Alur,147,Andhra Pradesh 
2159,HEBBATAM VANNURAPPA,Independent,542,0,542,0.26,Alur,147,Andhra Pradesh 
2160,NOTA,None of the Above,2629,5,2634,1.25,Alur,147,Andhra Pradesh 
2161,KAMANA PRABHAKARA RAO,Indian National Congress,1450,34,1484,0.76,Rayadurg,148,Andhra Pradesh 
2162,GURRAPU KOTTIYYA,Bahujan Samaj Party,451,2,453,0.23,Rayadurg,148,Andhra Pradesh 
2163,JOGESWARA RAO.V,Telugu Desam,115088,1221,116309,59.94,Rayadurg,148,Andhra Pradesh 
2164,THOTA TRIMURTHULU,Yuvajana Sramika Rythu Congress Party,71086,788,71874,37.04,Rayadurg,148,Andhra Pradesh 
2165,NALLA CHINNA RAO,Liberation Congress Party,293,0,293,0.15,Rayadurg,148,Andhra Pradesh 
2166,NANDIKOLLA RAJU,Navataram Party,131,0,131,0.07,Rayadurg,148,Andhra Pradesh 
2167,SADEY. DAVID RAJU,Republican Party of India (A),118,2,120,0.06,Rayadurg,148,Andhra Pradesh 
2168,KONA SURYA BHASKARA RAO,Independent,103,0,103,0.05,Rayadurg,148,Andhra Pradesh 
2169,MANDAPALLI RAVI,Independent,100,1,101,0.05,Rayadurg,148,Andhra Pradesh 
2170,RAYUDU SRINIVASU,Independent,138,2,140,0.07,Rayadurg,148,Andhra Pradesh 
2171,VEERA VENKATA SATYANARAYANA KONA,Independent,157,0,157,0.08,Rayadurg,148,Andhra Pradesh 
2172,SRIKRISHNA KONA,Independent,151,1,152,0.08,Rayadurg,148,Andhra Pradesh 
2173,SATYANARAYANA MARNI,Independent,1148,13,1161,0.6,Rayadurg,148,Andhra Pradesh 
2174,NOTA,None of the Above,1541,27,1568,0.81,Rayadurg,148,Andhra Pradesh 
2175,ANKE THIPPESWAMY,Bahujan Samaj Party,3828,4,3832,1.97,Uravakonda,149,Andhra Pradesh 
2176,PAYYAVULA KESHAV,Telugu Desam,100550,1496,102046,52.46,Uravakonda,149,Andhra Pradesh 
2177,Y. MADHUSUDHAN REDDY,Indian National Congress,4485,44,4529,2.33,Uravakonda,149,Andhra Pradesh 
